iter	Passed	Remaining
0	0	22
1	0	24
2	0	23
3	0	21
4	1	21
5	1	21
6	1	20
7	1	20
8	2	20
9	2	20
10	2	19
11	2	19
12	2	19
13	3	19
14	3	18
15	3	18
16	3	18
17	3	18
18	4	18
19	4	17
20	4	17
21	4	17
22	5	17
23	5	17
24	5	16
25	5	16
26	6	16
27	6	16
28	6	16
29	6	16
30	7	16
31	7	15
32	7	15
33	8	15
34	8	15
35	8	15
36	9	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	14
42	10	13
43	10	13
44	11	13
45	11	13
46	11	13
47	12	13
48	12	12
49	12	12
50	12	12
51	13	12
52	13	11
53	13	11
54	13	11
55	13	10
56	14	10
57	14	10
58	14	10
59	14	9
60	15	9
61	15	9
62	15	9
63	15	8
64	16	8
65	16	8
66	16	8
67	16	7
68	16	7
69	17	7
70	17	7
71	17	6
72	17	6
73	17	6
74	18	6
75	18	5
76	18	5
77	18	5
78	19	5
79	19	4
80	19	4
81	19	4
82	19	4
83	20	3
84	20	3
85	20	3
86	20	3
87	20	2
88	21	2
89	21	2
90	21	2
91	21	1
92	22	1
93	22	1
94	22	1
95	22	0
96	22	0
97	23	0
98	23	0
99	23	0
