iter	Passed	Remaining
0	56	56061
1	56	28167
2	56	18862
3	57	14210
4	57	11438
5	57	9600
6	58	8273
7	58	7275
8	58	6492
9	59	5869
10	59	5357
11	59	4928
12	60	4568
13	60	4263
14	60	4001
15	61	3767
16	61	3557
17	61	3372
18	62	3206
19	62	3057
20	62	2921
21	62	2798
22	63	2687
23	63	2583
24	63	2491
25	64	2406
26	64	2325
27	64	2253
28	65	2185
29	65	2123
30	66	2067
31	66	2010
32	66	1957
33	67	1910
34	67	1867
35	68	1825
36	68	1786
37	69	1748
38	69	1709
39	69	1672
40	70	1637
41	70	1605
42	70	1574
43	71	1546
44	71	1518
45	71	1490
46	72	1464
47	72	1440
48	73	1421
49	73	1400
50	74	1385
51	74	1363
52	75	1344
53	75	1324
54	75	1303
55	76	1285
56	76	1267
57	76	1250
58	77	1234
59	77	1217
60	78	1200
61	78	1185
62	78	1169
63	78	1154
64	79	1140
65	79	1126
66	79	1112
67	80	1099
68	80	1086
69	80	1073
70	81	1061
71	81	1050
72	81	1038
73	82	1027
74	82	1015
75	82	1005
76	82	994
77	83	983
78	83	972
79	83	964
80	84	956
81	84	949
82	85	939
83	85	932
84	86	926
85	86	917
86	86	910
87	87	901
88	87	894
89	87	888
90	88	880
91	88	873
92	88	866
93	89	860
94	89	853
95	89	846
96	90	840
97	90	833
98	90	826
99	91	820
100	91	814
101	91	808
102	92	803
103	92	797
104	92	791
105	93	786
106	93	781
107	94	776
108	94	771
109	95	771
110	95	766
111	96	761
112	96	756
113	96	751
114	96	746
115	97	741
116	97	736
117	97	731
118	98	726
119	98	722
120	98	717
121	98	712
122	99	708
123	99	704
124	100	700
125	100	696
126	100	691
127	100	687
128	101	684
129	101	681
130	102	677
131	102	674
132	102	670
133	103	667
134	103	664
135	104	661
136	104	657
137	104	655
138	105	651
139	105	649
140	106	646
141	106	642
142	106	639
143	107	636
144	107	633
145	107	630
146	108	628
147	108	625
148	108	622
149	109	619
150	109	616
151	109	613
152	110	609
153	110	606
154	110	603
155	110	600
156	111	597
157	111	594
158	111	591
159	112	588
160	112	585
161	112	582
162	113	580
163	113	578
164	113	576
165	114	573
166	114	570
167	114	568
168	115	566
169	115	564
170	115	561
171	116	559
172	116	556
173	116	554
174	117	551
175	117	549
176	117	547
177	118	545
178	118	543
179	118	541
180	119	538
181	119	536
182	119	534
183	119	531
184	120	529
185	120	527
186	120	525
187	121	523
188	121	521
189	121	519
190	122	517
191	122	516
192	122	513
193	123	511
194	123	509
195	123	507
196	124	505
197	124	503
198	124	502
199	125	500
200	125	498
201	125	497
202	126	495
203	126	493
204	126	491
205	127	490
206	127	489
207	128	487
208	128	486
209	128	484
210	129	482
211	129	481
212	129	479
213	130	477
214	130	476
215	130	474
216	131	473
217	131	471
218	131	470
219	132	469
220	132	467
221	132	465
222	133	464
223	133	462
224	133	461
225	134	460
226	134	458
227	135	457
228	135	455
229	135	454
230	136	452
